201	351	41	88
358	153	79	7
204	204	8	38
240	337	62	79
51	421	79	98
68	178	39	60
479	239	5	4
313	470	51	1
14	247	15	83
7	322	15	60
224	477	38	15
398	317	91	6
492	428	14	96
90	183	20	91
438	90	61	51
455	137	34	88
68	141	8	73
56	373	69	43
229	43	29	10
24	317	22	3
441	115	84	28
225	105	24	23
249	328	69	45
266	240	3	52
248	389	61	21
39	160	48	98
171	161	71	70
155	198	94	58
254	16	58	68
22	225	27	13
334	183	88	21
350	32	92	4
356	76	62	7
433	307	10	37
363	484	62	97
487	142	44	57
442	72	62	68
53	356	75	81
456	385	44	60
24	213	89	48
65	252	69	42
406	167	51	16
187	401	66	98
445	494	57	88
161	310	34	31
183	228	56	72
253	93	60	99
166	323	61	35
410	416	26	6
172	325	71	99
290	133	1	81
93	273	4	67
81	297	70	64
322	446	13	50
330	385	27	90
459	146	3	10
276	371	3	19
79	298	100	48
194	153	78	28
482	79	76	27
14	208	52	53
437	249	94	8
264	272	17	95
418	13	70	43
357	326	58	76
95	18	3	78
30	64	85	67
14	7	64	34
314	40	7	86
3	260	79	96
440	254	22	34
274	220	13	95
486	6	56	84
92	102	54	41
202	301	100	71
247	335	35	34
344	120	51	7
325	261	88	5
235	148	8	19
217	105	37	60
177	467	92	95
361	453	5	4
41	25	49	37
78	65	4	73
488	200	88	78
180	425	20	87
164	425	11	50
281	90	17	40
269	131	40	15
162	382	85	29
53	482	77	92
106	443	39	4
151	110	99	21
330	355	34	18
34	226	71	53
32	330	8	25
170	329	2	1
126	348	21	7
212	234	62	15
6	208	83	33
433	101	21	19
292	375	88	72
356	324	94	86
119	291	55	54
80	127	66	92
364	289	38	18
324	285	81	67
310	314	51	93
53	179	62	84
105	56	69	26
237	193	93	89
323	301	7	76
112	378	1	98
231	383	46	56
87	261	97	49
467	121	6	97
303	436	30	97
82	201	63	4
181	298	80	31
181	156	50	25
282	226	33	14
104	429	54	96
218	163	8	39
246	427	80	11
133	318	50	47
238	408	18	50
132	404	46	51
329	156	52	36
463	484	75	60
494	116	63	96
114	391	79	82
267	438	78	23
424	350	10	21
53	237	29	88
154	118	49	97
311	362	60	81
7	409	64	48
418	429	36	96
40	242	66	15
208	75	66	40
359	498	28	7
225	192	63	66
250	49	71	52
186	385	46	83
327	480	57	55
377	217	27	59
485	253	100	57
333	223	99	28
410	333	8	52
3	227	100	23
415	372	50	92
88	435	48	72
251	89	39	82
489	355	43	23
488	283	92	48
110	495	4	35
40	136	40	9
450	44	43	20
177	230	75	83
279	35	30	70
350	131	64	24
11	480	75	28
105	352	22	9
498	204	90	26
383	249	22	48
279	38	60	61
471	19	99	77
439	224	86	86
388	69	53	10
405	224	40	18
68	489	84	84
185	163	39	91
247	86	44	65
21	53	27	17
5	112	37	68
357	228	49	64
212	248	85	98
323	225	1	18
146	168	61	12
75	82	95	8
499	405	33	72
115	163	95	22
401	429	53	11
163	192	52	59
124	144	3	8
63	400	45	94
166	480	96	79
168	409	54	94
462	205	94	97
477	72	87	90
198	381	19	33
234	227	54	10
274	483	29	60
75	351	67	19
240	357	64	52
94	492	69	9
292	470	55	93
126	135	67	96
485	76	55	3
475	483	45	33
33	40	99	19
240	343	36	65
120	407	28	79
73	104	73	66
266	120	66	48
88	484	3	25
108	231	93	84
367	104	28	70
304	396	11	1
213	176	93	91
190	255	34	65
453	399	59	18
229	105	50	14
463	201	56	68
466	493	60	62
198	287	47	95
288	143	97	74
371	184	46	99
130	320	53	66
337	494	77	57
388	340	2	65
438	180	66	49
141	345	91	97
393	463	99	32
352	102	12	6
383	157	9	17
102	16	67	98
415	412	28	35
227	106	7	65
287	457	44	56
74	20	33	39
319	401	2	9
384	251	91	6
187	176	94	14
384	65	89	49
55	160	84	30
4	143	36	8
316	406	65	67
101	83	39	66
196	301	65	14
317	338	64	70
354	443	67	54
347	180	69	65
221	314	22	98
59	69	98	89
374	57	56	31
302	151	21	72
312	325	80	73
480	109	39	23
189	115	75	40
178	136	80	62
216	323	71	91
70	261	36	44
237	498	84	67
449	121	14	42
157	70	55	50
164	367	41	89
167	123	28	49
139	411	56	62
419	318	44	64
11	88	70	18
256	354	96	56
164	60	33	20
292	47	31	78
