28	27	85	68
13	53	63	27
76	73	30	88
53	62	86	89
53	8	24	93
62	92	2	67
87	72	52	86
38	58	28	1
2	59	33	37
18	21	43	59
64	82	19	39
100	94	5	40
67	26	1	3
87	38	24	97
62	41	21	24
74	32	89	39
24	53	14	55
18	34	91	81
41	68	92	48
29	58	31	19
51	52	51	26
88	92	23	76
26	97	96	54
23	67	89	35
90	69	32	12
58	92	95	23
53	17	16	78
5	11	15	55
2	48	100	69
9	99	17	87
1	41	52	62
95	84	83	19
89	55	78	60
39	11	41	15
97	47	23	84
45	16	46	100
54	5	50	93
12	43	85	34
66	67	4	100
14	62	66	69
6	62	85	36
33	13	83	99
88	95	47	59
40	10	56	9
50	92	51	62
79	36	25	75
59	11	37	75
4	61	75	12
52	5	19	74
59	38	35	21
58	15	44	2
32	81	13	30
60	92	67	64
39	79	90	82
72	71	42	8
18	21	26	83
60	25	74	11
80	46	27	77
63	74	86	18
47	42	78	84
42	16	97	67
49	36	87	22
95	29	1	99
16	66	49	52
21	35	8	55
27	49	65	11
38	62	3	32
80	40	4	75
78	31	5	46
12	94	91	6
77	2	22	82
4	38	61	72
8	32	99	54
69	30	3	25
60	25	10	56
39	28	3	56
89	19	11	97
52	83	25	23
97	39	67	83
29	62	87	13
95	67	55	35
55	29	23	49
76	35	93	3
51	60	32	10
47	100	48	7
20	4	40	31
24	7	17	66
41	30	64	65
75	89	78	23
88	49	13	67
96	7	33	14
28	45	88	9
56	8	2	16
100	7	94	62
52	96	60	42
79	75	27	81
78	93	37	35
42	56	46	3
52	3	15	2
72	69	21	11
77	20	5	64
22	44	89	83
9	20	85	9
18	14	94	68
61	97	82	51
27	45	59	98
8	91	69	59
76	62	54	99
81	25	76	1
36	18	30	47
93	32	44	74
84	54	37	25
32	25	34	73
25	41	18	6
99	48	26	76
4	74	66	30
67	48	15	9
28	82	51	27
64	53	47	25
6	6	53	26
29	46	24	7
25	76	39	84
41	96	100	85
32	75	5	58
97	27	49	94
100	69	51	48
83	14	67	98
42	97	5	83
67	32	94	78
60	96	46	41
59	32	2	32
79	62	17	92
85	17	92	6
58	65	48	24
71	30	22	33
34	19	55	35
76	39	17	31
62	6	39	51
73	68	54	50
40	79	69	97
33	18	25	4
49	41	17	80
3	84	4	97
32	13	71	28
29	72	59	29
59	89	64	62
1	21	37	64
4	86	49	83
77	51	74	25
69	80	29	9
9	52	59	37
68	99	3	57
92	17	61	71
52	63	84	45
3	3	79	79
89	55	28	36
37	6	35	92
86	11	50	61
11	59	83	79
9	71	40	5
4	24	80	57
51	11	23	82
70	18	77	65
29	93	19	27
70	33	22	55
31	83	65	36
10	94	75	99
49	49	50	80
78	65	20	57
39	40	20	36
36	77	5	30
57	89	85	90
9	67	36	43
9	81	96	46
19	73	52	45
49	5	92	5
43	21	47	9
94	37	3	88
48	95	89	11
57	70	67	95
75	90	56	70
94	26	35	60
23	94	63	14
7	51	91	57
80	55	100	25
83	80	29	44
94	24	69	13
96	23	99	15
21	36	15	92
25	10	19	20
87	31	40	51
6	40	44	81
95	66	57	14
52	72	14	30
11	9	95	40
50	66	31	3
33	27	10	77
47	32	77	49
53	88	82	84
54	5	86	68
59	75	44	55
55	72	77	58
44	61	29	8
17	49	90	64
3	80	7	46
58	100	72	71
75	96	14	85
28	68	89	67
29	57	73	4
20	43	79	24
75	41	57	7
20	4	6	79
87	58	1	57
26	93	98	26
55	13	6	70
16	45	64	13
19	95	55	99
16	74	21	72
37	58	55	42
86	70	63	96
74	54	50	11
37	14	44	73
72	13	84	99
91	59	84	21
23	58	84	77
38	55	23	47
12	91	58	27
73	84	43	60
62	49	68	95
24	38	98	97
2	45	73	61
47	64	2	69
81	43	79	6
44	95	29	80
31	70	45	35
91	38	12	99
32	37	68	44
2	4	53	81
26	97	85	54
66	28	69	27
69	51	99	26
89	32	41	78
100	39	84	95
39	89	20	24
60	22	38	36
59	92	78	58
52	1	11	61
6	35	4	60
90	88	89	43
64	31	51	89
65	45	36	48
88	98	100	95
2	34	88	67
62	28	9	90
90	28	74	32
33	29	39	77
21	29	64	46
33	84	9	20
89	14	3	6
98	100	36	69
92	29	85	4
96	8	70	61
85	47	14	58
26	68	71	35
